Order_ID,Order_Date,Region,Category,Product,Salesperson,Quantity,Unit_Price,Discount_%,Total_Sales,Cost,Profit
40,2023-05-21,South,Sports,Football,John,8,514,20,3289.6,1975.09,1314.51
41,2023-04-19,West,Sports,Gym Gloves,Priya,10,323,5,3068.5,1678.31,1390.19
42,2023-05-19,West,Sports,Bat,Amit,5,551,0,2755.0,2073.34,681.66
43,2023-02-08,North,Beauty,Lipstick,Sara,5,275,20,1100.0,782.79,317.21
44,2024-06-23,North,Clothing,Jacket,Amit,10,116,15,986.0,503.22,482.78
45,2024-09-17,West,Electronics,Mobile,John,6,389,15,1983.9,1299.55,684.35
46,2023-09-03,North,Sports,Football,David,5,184,10,828.0,562.42,265.58
47,2024-08-10,South,Electronics,Headphones,David,8,88,10,633.6,446.75,186.85
48,2023-09-11,North,Furniture,Bed,Meena,4,784,10,2822.4,1913.08,909.32
49,2023-01-17,East,Furniture,Chair,Amit,1,170,5,161.5,85.06,76.44
50,2024-02-08,North,Furniture,Sofa,Priya,4,398,5,1512.4,1097.5,414.9
51,2023-11-16,South,Clothing,Jeans,John,7,65,0,455.0,277.34,177.66
52,2024-12-12,North,Clothing,Shoes,Amit,4,656,20,2099.2,1129.42,969.78
53,2023-08-21,West,Clothing,Shoes,Amit,8,950,5,7220.0,5735.85,1484.15
54,2023-11-29,South,Beauty,Face Wash,Meena,6,677,0,4062.0,3193.13,868.87
55,2023-06-04,North,Furniture,Sofa,Amit,5,62,10,279.0,165.81,113.19
56,2023-11-03,South,Furniture,Bed,John,7,973,20,5448.8,2830.68,2618.12
57,2023-12-18,North,Beauty,Lipstick,John,2,591,15,1004.7,703.24,301.46
58,2023-03-22,South,Electronics,Tablet,John,1,699,0,699.0,403.96,295.04
59,2024-09-01,North,Beauty,Moisturizer,Amit,2,73,15,124.1,79.25,44.85
60,2023-01-23,North,Furniture,Table,Amit,3,725,5,2066.25,1587.99,478.26
61,2024-09-23,West,Sports,Bat,Sara,7,561,5,3730.65,2017.55,1713.1
62,2023-08-10,East,Furniture,Chair,John,4,191,0,764.0,473.36,290.64
63,2023-01-06,North,Clothing,Shirt,Sara,1,494,15,419.9,244.11,175.79
64,2023-01-08,East,Clothing,Jacket,David,7,239,10,1505.7,782.47,723.23
65,2024-09-04,North,Furniture,Sofa,Priya,8,22,10,158.4,80.76,77.64
66,2024-01-03,West,Sports,Gym Gloves,Meena,8,958,10,6897.6,4653.61,2243.99
67,2024-03-04,North,Clothing,Jacket,Amit,1,63,20,50.4,31.45,18.95
68,2024-03-28,South,Beauty,Perfume,Sara,1,671,5,637.45,410.79,226.66
69,2024-03-07,East,Beauty,Face Wash,Priya,9,320,20,2304.0,1473.15,830.85
70,2024-09-16,North,Furniture,Sofa,Priya,8,918,20,5875.2,3762.71,2112.49
71,2024-02-26,South,Sports,Gym Gloves,Sara,10,129,10,1161.0,924.28,236.72
72,2024-05-02,East,Clothing,Shoes,Amit,1,924,5,877.8,683.97,193.83
73,2023-04-17,North,Beauty,Face Wash,John,10,729,15,6196.5,3893.78,2302.72
74,2024-09-01,North,Electronics,Laptop,Amit,1,182,15,154.7,119.21,35.49
75,2023-10-23,East,Sports,Gym Gloves,Meena,3,631,5,1798.35,1237.43,560.92
76,2024-03-28,North,Furniture,Chair,Meena,7,547,10,3446.1,2576.13,869.97
77,2024-03-12,West,Beauty,Lipstick,John,7,219,10,1379.7,947.99,431.71
78,2023-07-12,West,Sports,Tennis Racket,Meena,6,22,0,132.0,94.4,37.6
79,2023-02-27,North,Sports,Football,Priya,5,285,20,1140.0,797.3,342.7
80,2024-05-10,North,Furniture,Bed,Meena,3,678,15,1728.9,1190.69,538.21
81,2023-10-21,West,Electronics,Mobile,David,6,400,5,2280.0,1757.35,522.65
82,2024-04-12,East,Beauty,Face Wash,Sara,9,348,20,2505.6,1810.7,694.9
83,2024-11-13,West,Sports,Gym Gloves,John,10,871,20,6968.0,5043.47,1924.53
84,2023-08-17,South,Clothing,Jacket,John,2,325,5,617.5,455.93,161.57
85,2023-06-21,West,Clothing,Shoes,Amit,10,912,20,7296.0,3813.75,3482.25
86,2024-11-01,North,Beauty,Moisturizer,Sara,3,210,0,630.0,383.55,246.45
87,2023-10-20,West,Clothing,Shoes,Priya,5,90,15,382.5,262.95,119.55
88,2023-11-22,South,Beauty,Face Wash,David,2,995,15,1691.5,1120.13,571.37
89,2024-04-30,East,Furniture,Chair,David,7,552,20,3091.2,1667.17,1424.03
90,2024-11-24,North,Clothing,Shoes,David,7,522,0,3654.0,2043.17,1610.83
91,2024-10-29,South,Clothing,Jeans,John,9,890,20,6408.0,3545.84,2862.16
92,2024-02-19,North,Furniture,Table,John,3,817,10,2205.9,1692.26,513.64
93,2024-02-26,West,Beauty,Face Wash,Priya,8,863,5,6558.8,4702.88,1855.92
94,2023-04-18,East,Furniture,Chair,Meena,9,334,0,3006.0,2307.12,698.88
95,2023-06-27,North,Sports,Bat,Priya,8,126,5,957.6,647.11,310.49
96,2024-05-08,East,Furniture,Chair,Sara,2,517,10,930.6,685.5,245.1
97,2023-04-08,South,Clothing,Jeans,Priya,7,502,5,3338.3,2213.75,1124.55
98,2023-10-13,South,Furniture,Bed,Priya,9,394,15,3014.1,2407.08,607.02
99,2024-04-16,North,Sports,Football,Meena,3,751,10,2027.7,1088.73,938.97
100,2024-05-26,East,Furniture,Bed,Priya,5,384,10,1728.0,940.11,787.89
101,2024-07-10,North,Furniture,Sofa,Meena,4,72,0,288.0,178.0,110.0
102,2023-01-24,East,Electronics,Tablet,Sara,3,108,15,275.4,211.02,64.38
103,2023-05-24,South,Clothing,Jeans,David,8,133,5,1010.8,668.42,342.38
104,2024-03-23,West,Clothing,Jacket,Amit,1,383,5,363.85,274.22,89.63
105,2023-08-11,South,Sports,Football,David,9,899,15,6877.35,4261.7,2615.65
106,2024-03-04,West,Electronics,Headphones,Sara,7,32,20,179.2,119.15,60.05
107,2023-12-28,South,Sports,Gym Gloves,Priya,6,964,15,4916.4,3313.62,1602.78
108,2023-03-03,East,Clothing,Jacket,David,4,398,15,1353.2,971.92,381.28
109,2023-07-11,East,Furniture,Sofa,Sara,1,386,10,347.4,258.71,88.69
110,2024-10-01,South,Sports,Gym Gloves,David,2,127,10,228.6,119.25,109.35
111,2024-03-05,West,Beauty,Lipstick,Meena,1,794,10,714.6,520.94,193.66
112,2024-03-27,South,Furniture,Sofa,Sara,3,622,10,1679.4,1099.65,579.75
113,2024-07-28,West,Sports,Football,Sara,10,893,20,7144.0,3639.92,3504.08
114,2023-01-16,East,Clothing,Jeans,Priya,6,371,5,2114.7,1451.15,663.55
115,2024-07-22,South,Beauty,Face Wash,Amit,10,831,10,7479.0,4511.26,2967.74
116,2023-04-21,East,Beauty,Moisturizer,Priya,5,339,20,1356.0,944.5,411.5
117,2024-11-27,North,Electronics,Tablet,Amit,8,281,0,2248.0,1556.32,691.68
118,2024-07-13,East,Furniture,Bed,Amit,10,341,15,2898.5,1862.44,1036.06
119,2023-01-14,South,Electronics,Headphones,Amit,1,380,10,342.0,184.42,157.58
120,2023-05-11,South,Beauty,Lipstick,David,6,303,10,1636.2,1266.13,370.07
121,2024-01-08,North,Clothing,Jeans,Priya,6,149,15,759.9,427.93,331.97
122,2024-07-04,East,Clothing,Jeans,Meena,3,965,20,2316.0,1207.23,1108.77
123,2023-12-04,West,Sports,Football,Meena,2,125,5,237.5,164.71,72.79
124,2023-11-03,South,Electronics,Laptop,Amit,7,403,15,2397.85,1511.86,885.99
125,2023-04-11,West,Furniture,Sofa,John,7,558,15,3320.1,1985.0,1335.1
126,2023-01-02,East,Furniture,Chair,Sara,7,750,20,4200.0,2763.82,1436.18
127,2024-08-01,North,Furniture,Table,Priya,8,249,10,1792.8,968.18,824.62
128,2023-11-10,West,Sports,Football,John,1,974,5,925.3,669.37,255.93
129,2024-03-15,West,Sports,Bat,John,2,522,20,835.2,561.49,273.71
130,2024-05-17,East,Sports,Tennis Racket,Sara,4,423,5,1607.4,1047.45,559.95
131,2024-11-20,East,Sports,Tennis Racket,Priya,3,293,0,879.0,534.12,344.88
132,2024-12-29,West,Clothing,Jeans,Meena,4,813,20,2601.6,1809.68,791.92
133,2024-10-31,East,Clothing,Shoes,Meena,2,725,0,1450.0,863.49,586.51
134,2024-08-02,West,Electronics,Headphones,Sara,7,587,5,3903.55,2272.47,1631.08
135,2023-06-21,West,Clothing,Shoes,Priya,10,223,0,2230.0,1229.36,1000.64
136,2024-01-12,West,Furniture,Table,Meena,5,18,15,76.5,53.68,22.82
137,2024-10-26,West,Electronics,Tablet,Meena,2,804,5,1527.6,1001.77,525.83
138,2024-02-21,North,Beauty,Face Wash,Meena,4,665,15,2261.0,1783.21,477.79
139,2024-12-29,North,Sports,Gym Gloves,Priya,6,595,5,3391.5,2537.52,853.98
140,2023-06-16,North,Beauty,Moisturizer,David,5,519,10,2335.5,1499.04,836.46
141,2024-08-08,South,Electronics,Laptop,Sara,1,408,5,387.6,298.16,89.44
142,2024-05-18,North,Clothing,Jacket,Sara,9,926,10,7500.6,4104.32,3396.28
143,2023-06-07,North,Clothing,Jacket,Amit,4,342,0,1368.0,728.63,639.37
144,2023-01-31,North,Beauty,Perfume,Meena,6,457,0,2742.0,1876.86,865.14
145,2024-09-25,East,Clothing,Shirt,Amit,8,508,10,3657.6,2256.81,1400.79
146,2024-10-26,South,Beauty,Lipstick,John,5,149,10,670.5,421.74,248.76
147,2024-06-29,South,Furniture,Table,John,8,477,0,3816.0,2520.47,1295.53
148,2024-02-23,South,Sports,Bat,Meena,2,215,0,430.0,315.98,114.02
149,2023-12-04,South,Electronics,Mobile,David,1,532,15,452.2,344.56,107.64
150,2023-06-19,North,Clothing,Shirt,David,4,955,20,3056.0,1755.26,1300.74
151,2024-06-20,South,Sports,Bat,Meena,9,171,0,1539.0,784.69,754.31
152,2023-08-17,West,Sports,Gym Gloves,John,10,587,20,4696.0,2703.42,1992.58
153,2024-10-12,South,Beauty,Face Wash,Meena,3,629,5,1792.65,1378.13,414.52
154,2024-11-10,South,Electronics,Laptop,Priya,2,856,0,1712.0,971.95,740.05
155,2024-02-29,East,Clothing,Shirt,Amit,3,169,15,430.95,344.45,86.5
156,2023-10-15,North,Sports,Football,Meena,8,758,15,5154.4,3204.09,1950.31
157,2024-03-14,South,Beauty,Face Wash,Sara,7,886,5,5891.9,3169.45,2722.45
158,2023-11-22,East,Sports,Football,Priya,8,856,10,6163.2,3383.34,2779.86
159,2024-09-15,North,Furniture,Bed,Amit,10,860,5,8170.0,5826.56,2343.44
160,2024-01-15,West,Sports,Tennis Racket,Amit,2,349,20,558.4,289.29,269.11
161,2023-02-16,South,Furniture,Sofa,Sara,6,937,20,4497.6,3266.64,1230.96
162,2024-04-26,East,Clothing,Jeans,Priya,2,312,15,530.4,286.21,244.19
163,2023-05-27,South,Electronics,Laptop,Meena,10,584,5,5548.0,3304.13,2243.87
164,2023-03-10,East,Sports,Football,Amit,1,691,0,691.0,549.94,141.06
165,2024-03-29,South,Beauty,Lipstick,Priya,6,159,10,858.6,628.54,230.06
166,2024-10-05,North,Electronics,Laptop,Amit,2,225,0,450.0,326.6,123.4
167,2023-03-06,East,Sports,Football,John,10,36,5,342.0,184.28,157.72
168,2023-08-08,East,Clothing,Jacket,David,1,802,20,641.6,330.39,311.21
169,2023-05-16,East,Sports,Tennis Racket,John,3,448,10,1209.6,853.02,356.58
170,2023-12-23,East,Clothing,Jacket,Sara,1,553,15,470.05,296.83,173.22
171,2023-05-30,North,Electronics,Mobile,Priya,1,968,0,968.0,654.5,313.5
172,2024-08-08,North,Beauty,Perfume,John,2,688,15,1169.6,678.1,491.5
173,2023-08-03,South,Furniture,Table,Priya,7,95,0,665.0,341.43,323.57
174,2024-10-07,West,Electronics,Laptop,John,5,755,20,3020.0,1951.19,1068.81
175,2024-10-04,East,Electronics,Tablet,Priya,4,762,15,2590.8,1370.74,1220.06
176,2024-11-23,North,Sports,Football,Priya,8,107,20,684.8,444.27,240.53
177,2024-03-10,East,Clothing,Jeans,Sara,3,634,0,1902.0,1471.96,430.04
178,2024-02-17,East,Beauty,Perfume,Sara,6,40,10,216.0,113.39,102.61
179,2024-12-02,East,Furniture,Sofa,David,3,611,15,1558.05,1140.61,417.44
180,2024-02-19,North,Beauty,Moisturizer,Amit,4,165,5,627.0,412.5,214.5
181,2024-01-31,South,Furniture,Sofa,Sara,2,350,15,595.0,456.88,138.12
182,2024-03-06,East,Sports,Football,Priya,10,414,20,3312.0,2562.44,749.56
183,2023-07-23,South,Beauty,Moisturizer,Priya,2,234,10,421.2,251.06,170.14
184,2023-01-26,North,Beauty,Lipstick,David,2,830,20,1328.0,1025.53,302.47
185,2023-12-26,East,Clothing,Jeans,Priya,10,937,10,8433.0,4266.17,4166.83
186,2023-06-05,East,Furniture,Sofa,Meena,3,172,10,464.4,274.5,189.9
187,2023-01-04,West,Sports,Tennis Racket,Sara,8,421,0,3368.0,2567.93,800.07
188,2024-01-10,West,Clothing,Jacket,Meena,10,306,20,2448.0,1564.58,883.42
189,2024-09-03,North,Beauty,Lipstick,John,9,183,10,1482.3,917.11,565.19
190,2023-05-30,North,Clothing,Jacket,Amit,5,275,0,1375.0,1030.19,344.81
191,2024-06-09,North,Clothing,Jeans,Amit,10,223,0,2230.0,1166.78,1063.22
192,2023-08-06,North,Furniture,Sofa,David,1,257,20,205.6,102.9,102.7
193,2023-10-18,South,Sports,Gym Gloves,Meena,9,364,10,2948.4,2186.28,762.12
194,2024-10-20,North,Furniture,Table,Priya,6,605,20,2904.0,1881.95,1022.05
195,2023-06-03,North,Sports,Football,David,1,532,20,425.6,282.74,142.86
196,2023-12-28,East,Furniture,Chair,Sara,2,949,15,1613.3,808.78,804.52
197,2023-11-30,East,Sports,Football,Priya,2,120,5,228.0,124.6,103.4
198,2024-10-14,South,Furniture,Table,David,6,234,20,1123.2,858.55,264.65
199,2024-07-14,East,Clothing,Jeans,Amit,7,97,20,543.2,321.84,221.36
200,2024-01-13,South,Sports,Tennis Racket,John,8,306,10,2203.2,1440.05,763.15
201,2023-10-20,West,Beauty,Face Wash,Priya,5,20,15,85.0,43.32,41.68
202,2024-04-17,North,Furniture,Bed,Amit,10,132,20,1056.0,663.55,392.45
203,2023-08-12,West,Electronics,Mobile,Meena,7,763,0,5341.0,3423.76,1917.24
204,2024-01-10,South,Clothing,Jacket,Priya,10,561,10,5049.0,3883.61,1165.39
205,2023-03-23,East,Electronics,Mobile,Sara,9,536,15,4100.4,2649.21,1451.19
206,2024-10-04,East,Clothing,Shoes,David,8,924,10,6652.8,5300.35,1352.45
207,2024-01-02,West,Clothing,Shirt,David,8,296,5,2249.6,1457.53,792.07
208,2023-03-06,West,Beauty,Perfume,John,9,353,5,3018.15,2287.05,731.1
209,2023-06-17,South,Beauty,Lipstick,Sara,3,905,0,2715.0,1984.03,730.97
210,2023-06-08,South,Furniture,Chair,Meena,2,124,10,223.2,139.46,83.74
211,2024-11-13,South,Sports,Tennis Racket,Meena,7,526,0,3682.0,2928.98,753.02
212,2023-10-18,East,Electronics,Mobile,Meena,5,740,10,3330.0,2648.77,681.23
213,2024-02-25,West,Sports,Tennis Racket,Meena,9,333,20,2397.6,1823.43,574.17
214,2024-12-02,South,Furniture,Bed,Sara,7,705,5,4688.25,2552.82,2135.43
215,2024-08-07,South,Furniture,Sofa,Sara,4,643,10,2314.8,1817.12,497.68
216,2024-08-09,North,Sports,Football,John,1,997,10,897.3,547.97,349.33
217,2023-07-08,East,Electronics,Headphones,Meena,9,417,5,3565.35,1954.15,1611.2
218,2023-02-28,West,Furniture,Chair,Amit,8,703,10,5061.6,2756.23,2305.37
219,2024-07-24,East,Electronics,Mobile,Sara,1,905,0,905.0,516.66,388.34
220,2023-09-10,East,Clothing,Shoes,David,6,29,20,139.2,75.33,63.87
221,2023-09-19,South,Sports,Gym Gloves,Amit,7,884,5,5878.6,4373.73,1504.87
222,2023-08-27,West,Clothing,Shirt,David,4,161,10,579.6,396.08,183.52
223,2024-03-07,West,Clothing,Jeans,Amit,4,436,0,1744.0,1201.5,542.5
224,2024-12-01,South,Sports,Gym Gloves,David,4,397,20,1270.4,693.46,576.94
225,2024-11-12,East,Clothing,Shirt,Amit,3,27,10,72.9,43.48,29.42
226,2024-08-12,East,Beauty,Lipstick,Sara,7,443,0,3101.0,1732.83,1368.17
227,2024-09-25,West,Sports,Bat,Sara,7,798,15,4748.1,2928.7,1819.4
228,2023-05-15,West,Electronics,Mobile,John,7,541,20,3029.6,2240.88,788.72
229,2024-08-23,South,Clothing,Jacket,Amit,8,69,5,524.4,360.73,163.67
230,2024-08-07,South,Beauty,Face Wash,Sara,10,649,20,5192.0,4145.9,1046.1
231,2023-12-18,East,Clothing,Jacket,Priya,1,388,15,329.8,239.14,90.66
232,2024-06-01,West,Furniture,Table,Sara,3,826,10,2230.2,1354.58,875.62
233,2023-06-02,South,Furniture,Sofa,Priya,7,582,0,4074.0,2879.29,1194.71
234,2023-10-11,West,Furniture,Sofa,Meena,9,325,15,2486.25,1648.68,837.57
235,2023-08-10,West,Clothing,Jeans,Priya,6,782,0,4692.0,2727.65,1964.35
236,2024-10-25,East,Clothing,Shirt,Sara,1,102,10,91.8,57.8,34.0
237,2023-09-05,South,Clothing,Shirt,David,6,840,10,4536.0,2919.94,1616.06
238,2024-09-29,West,Beauty,Face Wash,John,2,349,20,558.4,331.13,227.27
239,2023-08-15,North,Electronics,Mobile,John,1,208,0,208.0,138.4,69.6
240,2023-03-31,West,Electronics,Mobile,Meena,3,656,0,1968.0,1472.84,495.16
241,2024-12-10,South,Sports,Gym Gloves,Meena,9,417,15,3190.05,2227.31,962.74
242,2023-08-11,South,Sports,Football,Amit,2,104,0,208.0,106.88,101.12
243,2023-03-12,East,Beauty,Perfume,David,4,454,5,1725.2,867.24,857.96
244,2024-07-05,South,Beauty,Moisturizer,David,3,885,0,2655.0,1582.67,1072.33
245,2023-11-29,South,Sports,Tennis Racket,John,7,782,0,5474.0,3220.89,2253.11
246,2024-05-19,South,Beauty,Perfume,David,5,439,5,2085.25,1398.98,686.27
247,2023-09-01,West,Beauty,Lipstick,John,3,724,20,1737.6,1014.46,723.14
248,2023-08-25,East,Beauty,Lipstick,John,5,361,0,1805.0,945.33,859.67
249,2024-11-12,South,Sports,Football,Priya,6,36,15,183.6,108.55,75.05
250,2023-05-04,North,Beauty,Moisturizer,John,8,306,20,1958.4,1462.39,496.01
251,2024-06-09,West,Electronics,Laptop,Amit,3,193,10,521.1,262.68,258.42
252,2024-11-23,South,Clothing,Jeans,Meena,4,844,10,3038.4,2315.01,723.39
253,2024-06-03,East,Furniture,Chair,Amit,5,978,15,4156.5,2389.64,1766.86
254,2024-10-14,South,Furniture,Table,Meena,6,60,20,288.0,227.0,61.0
255,2024-04-24,South,Furniture,Sofa,David,2,774,10,1393.2,750.17,643.03
256,2024-04-11,South,Electronics,Laptop,Amit,3,643,20,1543.2,1012.88,530.32
257,2024-07-03,West,Electronics,Tablet,Meena,3,653,10,1763.1,990.29,772.81
258,2023-11-25,East,Electronics,Mobile,David,8,851,0,6808.0,4806.87,2001.13
259,2023-07-07,South,Furniture,Sofa,Priya,6,701,0,4206.0,3285.5,920.5
260,2023-10-12,East,Sports,Gym Gloves,David,1,269,5,255.55,186.39,69.16
261,2023-05-06,East,Clothing,Shirt,John,10,598,0,5980.0,3014.0,2966.0
262,2024-10-05,West,Beauty,Moisturizer,David,10,39,20,312.0,204.94,107.06
263,2023-08-15,East,Furniture,Bed,David,10,637,10,5733.0,3157.86,2575.14
264,2023-02-12,East,Clothing,Shirt,Priya,1,828,20,662.4,399.58,262.82
265,2023-11-24,South,Sports,Gym Gloves,Amit,9,442,0,3978.0,2468.56,1509.44
266,2023-03-30,West,Clothing,Shirt,David,9,11,0,99.0,70.86,28.14
267,2023-10-26,West,Furniture,Chair,Amit,7,989,0,6923.0,4802.08,2120.92
268,2023-10-26,West,Electronics,Headphones,Amit,8,393,15,2672.4,1454.62,1217.78
269,2024-06-13,South,Beauty,Perfume,David,5,537,15,2282.25,1414.63,867.62
270,2023-01-19,East,Clothing,Jeans,Amit,2,230,20,368.0,245.11,122.89
271,2023-05-05,East,Clothing,Jeans,Priya,9,771,0,6939.0,4710.25,2228.75
272,2024-04-09,West,Beauty,Lipstick,Sara,10,272,20,2176.0,1589.09,586.91
273,2024-09-14,West,Clothing,Shoes,Amit,7,523,15,3111.85,2186.09,925.76
274,2024-10-21,West,Sports,Gym Gloves,Priya,2,172,0,344.0,224.47,119.53
275,2023-08-06,North,Electronics,Headphones,Sara,6,396,10,2138.4,1656.85,481.55
276,2024-10-20,West,Clothing,Shoes,David,4,977,15,3321.8,2077.34,1244.46
277,2023-11-23,West,Electronics,Tablet,Meena,9,151,5,1291.05,824.06,466.99
278,2023-03-26,East,Electronics,Headphones,Meena,3,833,20,1999.2,1354.08,645.12
279,2024-09-17,North,Electronics,Mobile,Priya,2,417,20,667.2,519.32,147.88
280,2023-05-19,South,Clothing,Jeans,David,2,137,15,232.9,167.97,64.93
281,2024-01-29,East,Electronics,Tablet,Amit,6,997,5,5682.9,3892.28,1790.62
282,2023-08-29,West,Beauty,Perfume,David,4,836,10,3009.6,1531.53,1478.07
283,2024-06-20,North,Furniture,Chair,Amit,4,588,10,2116.8,1689.79,427.01
284,2024-11-08,North,Clothing,Shirt,Meena,2,584,10,1051.2,572.89,478.31
285,2023-09-12,West,Beauty,Perfume,John,6,924,15,4712.4,3478.27,1234.13
286,2023-10-27,South,Sports,Football,Meena,5,927,20,3708.0,1867.92,1840.08
287,2023-05-12,North,Sports,Football,Meena,8,258,5,1960.8,1354.37,606.43
288,2024-10-17,East,Clothing,Shirt,Meena,7,695,0,4865.0,3601.03,1263.97
289,2024-09-20,East,Electronics,Tablet,Priya,3,58,20,139.2,110.66,28.54
290,2023-02-03,East,Clothing,Shoes,David,1,162,10,145.8,108.24,37.56
291,2023-06-23,South,Beauty,Lipstick,Sara,3,498,10,1344.6,919.44,425.16
292,2023-04-02,North,Sports,Football,Meena,7,724,10,4561.2,3505.28,1055.92
293,2024-06-14,South,Furniture,Chair,Meena,10,468,10,4212.0,3000.97,1211.03
294,2024-09-01,North,Furniture,Bed,John,5,22,20,88.0,48.35,39.65
295,2023-10-11,South,Clothing,Jacket,Meena,10,872,0,8720.0,4535.83,4184.17
296,2023-09-26,North,Sports,Bat,David,6,572,0,3432.0,2069.8,1362.2
297,2024-11-06,South,Clothing,Jacket,Priya,3,926,15,2361.3,1664.38,696.92
298,2024-09-10,North,Sports,Bat,John,8,652,5,4955.2,3867.45,1087.75
299,2024-08-03,West,Electronics,Headphones,David,3,943,20,2263.2,1499.16,764.04
300,2024-06-06,East,Electronics,Laptop,Priya,10,180,5,1710.0,1144.13,565.87
301,2023-03-19,West,Furniture,Table,Amit,4,108,5,410.4,266.47,143.93
302,2024-11-10,South,Clothing,Shoes,John,2,470,15,799.0,578.69,220.31
303,2023-12-03,East,Beauty,Lipstick,Meena,10,268,15,2278.0,1445.63,832.37
304,2024-05-09,West,Electronics,Mobile,Amit,6,378,15,1927.8,1241.89,685.91
305,2024-07-14,West,Furniture,Sofa,Priya,4,705,15,2397.0,1760.4,636.6
306,2023-11-10,North,Clothing,Shirt,David,3,422,15,1076.1,742.44,333.66
307,2024-03-19,West,Furniture,Bed,Meena,5,40,20,160.0,100.29,59.71
308,2023-01-13,West,Sports,Tennis Racket,John,6,620,0,3720.0,1958.81,1761.19
309,2023-03-16,South,Sports,Gym Gloves,Amit,10,295,10,2655.0,1539.46,1115.54
310,2023-09-16,West,Beauty,Face Wash,John,8,944,20,6041.6,4287.43,1754.17
311,2024-08-23,East,Clothing,Jeans,Amit,9,707,5,6044.85,3641.84,2403.01
312,2023-11-24,West,Beauty,Moisturizer,Meena,4,395,10,1422.0,968.25,453.75
313,2024-01-28,South,Sports,Tennis Racket,John,5,180,0,900.0,521.95,378.05
314,2023-09-28,West,Furniture,Sofa,Priya,9,530,15,4054.5,2547.81,1506.69
315,2024-02-20,North,Electronics,Laptop,Amit,7,570,20,3192.0,2383.52,808.48
316,2024-08-07,West,Sports,Gym Gloves,Sara,4,833,10,2998.8,2393.07,605.73
317,2024-08-09,South,Electronics,Tablet,David,10,324,0,3240.0,2009.77,1230.23
